-0.1214122313 -0.1988816864 -0.4930466458 -0.2899110103 -0.1988816864 -0.5000000000
-0.1423219920 -0.1720492543 -0.4940086458 -0.2833179465 -0.1720492543 -0.5000000000
-0.1565612543 -0.1488373331 -0.4949135004 -0.2767431568 -0.1488373331 -0.5000000000
-0.1658127769 -0.1286903748 -0.4957430014 -0.2702492837 -0.1286903748 -0.5000000000
-0.1713430374 -0.1111654999 -0.4964857942 -0.2638914732 -0.1111654999 -0.5000000000
-0.1741202626 -0.0959049221 -0.4971368432 -0.2577159396 -0.0959049221 -0.5000000000
-0.1748803263 -0.0826094187 -0.4976963864 -0.2517594344 -0.0826094187 -0.5000000000
-0.1741920958 -0.0710310005 -0.4981686598 -0.2460493155 -0.0710310005 -0.5000000000
-0.1724829224 -0.0609544685 -0.4985606378 -0.2406040710 -0.0609544685 -0.5000000000
-0.1700817237 -0.0521979665 -0.4988809120 -0.2354342484 -0.0521979665 -0.5000000000
-0.1672324083 -0.0446020391 -0.4991387880 -0.2305435526 -0.0446020391 -0.5000000000
-0.1641156964 -0.0380256569 -0.4993435894 -0.2259300301 -0.0380256569 -0.5000000000
-0.1608666813 -0.0323460903 -0.4995041638 -0.2215872452 -0.0323460903 -0.5000000000
-0.1575804416 -0.0274548631 -0.4996285690 -0.2175054277 -0.0274548631 -0.5000000000
-0.1543217140 -0.0232525467 -0.4997238956 -0.2136724612 -0.0232525467 -0.5000000000
-0.1511384611 -0.0196531851 -0.4997962036 -0.2100747487 -0.0196531851 -0.5000000000
-0.1480580963 -0.0165784900 -0.4998505484 -0.2066979202 -0.0165784900 -0.5000000000
