0.3206482087 0.0018593840 -0.0018593840 -0.0994408432 -0.1232616615 -0.1232616615 0.0018593840 -0.0018593840 0.0994408432 -0.1232616615 -0.1232616615 0.0192772921 0.0018593840 -0.0018593840 0.0994408432 0.0192772921 -0.0272314415 -0.0272314415 0.2210302200 0.2210302200 0.0018593840 -0.0994408432 -0.0018593840 -0.1721869466 0.0192772921 -0.1721869466 0.0192772921 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2902449640 0.0019236571 -0.0019236571 -0.0860246271 -0.1235021614 -0.1235021614 0.0019236571 -0.0019236571 0.0860246271 -0.1235021614 -0.1235021614 0.0241100457 0.0019236571 -0.0019236571 0.0860246271 0.0241100457 -0.0322186834 -0.0322186834 0.2162834780 0.2162834780 0.0019236571 -0.0860246271 -0.0019236571 -0.1738776567 0.0241100457 -0.1738776567 0.0241100457 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2670144224 0.0019653594 -0.0019653594 -0.0744186665 -0.1237283751 -0.1237283751 0.0019653594 -0.0019653594 0.0744186665 -0.1237283751 -0.1237283751 0.0279747385 0.0019653594 -0.0019653594 0.0744186665 0.0279747385 -0.0369405368 -0.0369405368 0.2117878383 0.2117878383 0.0019653594 -0.0744186665 -0.0019653594 -0.1753121152 0.0279747385 -0.1753121152 0.0279747385 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2492804298 0.0019810861 -0.0019810861 -0.0643451874 -0.1239357503 -0.1239357503 0.0019810861 -0.0019810861 0.0643451874 -0.1239357503 -0.1239357503 0.0310542670 0.0019810861 -0.0019810861 0.0643451874 0.0310542670 -0.0413891470 -0.0413891470 0.2075466033 0.2075466033 0.0019810861 -0.0643451874 -0.0019810861 -0.1765137888 0.0310542670 -0.1765137888 0.0310542670 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2357752165 0.0019699173 -0.0019699173 -0.0555827500 -0.1241214485 -0.1241214485 0.0019699173 -0.0019699173 0.0555827500 -0.1241214485 -0.1241214485 0.0334957675 0.0019699173 -0.0019699173 0.0555827500 0.0334957675 -0.0455623216 -0.0455623216 0.2035591270 0.2035591270 0.0019699173 -0.0555827500 -0.0019699173 -0.1775080582 0.0334957675 -0.1775080582 0.0334957675 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2255224333 0.0019328713 -0.0019328713 -0.0479524611 -0.1242842108 -0.1242842108 0.0019328713 -0.0019328713 0.0479524611 -0.1242842108 -0.1242842108 0.0354207492 0.0019328713 -0.0019328713 0.0479524611 0.0354207491 -0.0494628628 -0.0494628628 0.1998213480 0.1998213480 0.0019328713 -0.0479524611 -0.0019328713 -0.1783208327 0.0354207492 -0.1783208327 0.0354207492 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2177722763 0.0018723802 -0.0018723802 -0.0413047093 -0.1244240966 -0.1244240966 0.0018723802 -0.0018723802 0.0413047093 -0.1244240966 -0.1244240966 0.0369282743 0.0018723802 -0.0018723802 0.0413047093 0.0369282743 -0.0530977953 -0.0530977953 0.1963263013 0.1963263013 0.0018723802 -0.0413047093 -0.0018723802 -0.1789775125 0.0369282744 -0.1789775125 0.0369282744 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2119372881 0.0017918207 -0.0017918207 -0.0355155003 -0.1245421650 -0.1245421650 0.0017918207 -0.0017918207 0.0355155003 -0.1245421650 -0.1245421650 0.0381017193 0.0017918207 -0.0017918207 0.0355155003 0.0381017193 -0.0564774730 -0.0564774730 0.1930646920 0.1930646920 0.0017918207 -0.0355155003 -0.0017918207 -0.1795021307 0.0381017193 -0.1795021307 0.0381017193 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2075680178 0.0016951113 -0.0016951113 -0.0304772342 -0.1246401594 -0.1246401594 0.0016951113 -0.0016951113 0.0304772342 -0.1246401594 -0.1246401594 0.0390081237 0.0016951113 -0.0016951113 0.0304772342 0.0390081237 -0.0596146893 -0.0596146893 0.1900254701 0.1900254701 0.0016951113 -0.0304772342 -0.0016951113 -0.1799167248 0.0390081238 -0.1799167248 0.0390081238 0.1250000000 0.1250000000 0.1250000000 0.1250000000
0.2043110002 0.0015863822 -0.0015863822 -0.0260989832 -0.1247202280 -0.1247202280 0.0015863822 -0.0015863822 0.0260989832 -0.1247202280 -0.1247202280 0.0397037887 0.0015863822 -0.0015863822 0.0260989832 0.0397037887 -0.0625238661 -0.0625238661 0.1871963620 0.1871963620 0.0015863822 -0.0260989832 -0.0015863822 -0.1802409903 0.0397037887 -0.1802409903 0.0397037887 0.1250000000 0.1250000000 0.1250000000 0.1250000000
